Key,Source,Context,Changes,English,German
torchFlammable,blocks,light,new,Torch,Fackel
wallTorchLight,blocks,light,rework,Torch POI (burning),Fackel POI (brennend)
wallTorchLightPlayer,blocks,light,rework,Torch (burning),Fackel (brennend)
wallTorchLightPlayerPlaced,blocks,light,new,Torch (burning),Fackel (brennend)
torchFlammableDesc,description,light,new,This item can be ignited with a flint or lighter and by burning fire.,Dieser Gegenstand kann entzündet werden mit einem Feuerstein oder Feuerzeug und durch brennende Feuer.
torchLitUpDesc,description,light,rework,This item gives you light and can set enemies on fire. \n\nAfter placing you have a short moment to pick it up again before it burns slowly.,Dieser Gegenstand spendet dir Licht und kann Gegner in Brand setzen. \n\nNach dem platzieren hast du einen kurzen Moment um ihn wieder aufzuheben bevor er langsam verbrennt.
candleWallLight,blocks,light,rework,Candle (burned out),Kerze (ausgebrannt)
candleTableLight,blocks,light,rework,Candle (burned out),Kerze (ausgebrannt)
candleFlammable,blocks,light,new,Candle,Kerze
candleWallFlammable,blocks,light,new,Candle,Kerze
candleWallLightPlayer,blocks,light,rework,Candle (burning),Kerze (brennend)
candleTableLightPlayer,blocks,light,rework,Candle (burning),Kerze (brennend)
candleFlammableDesc,description,light,new,This block can be ignited with a flint or lighter and animal fat.,Dieser Block kann entzündet werden mit einem Feuerstein oder Feuerzeug und Tierfett.
decoPumpkinJackOLantern,blocks,light,rework,Pumpkin Lantern (burned out),Kürbislaterne (ausgebrannt)
FlammablePumpkinJackOLantern,blocks,light,new,Pumpkin Lantern,Kürbislaterne
litUpPumpkinJackOLantern,blocks,light,new,Pumpkin Lantern (burning),Kürbislaterne (brennend)
litUpPumpkinJackOLanternItem,items,light,new,Pumpkin Lantern (burning),Kürbislaterne (brennend)
litUpPumpkinJackOLanternItemDesc,items,light,new,Right click: Place the pumpkin lantern.,Rechtsklick: Kürbislaterne platzieren.
litUpPumpkinJackOLanternPlaced,blocks,light,new,Pumpkin Lantern (burning),Kürbislaterne (brennend)
lanternFlammableDesc,description,light,new,This block can be ignited with a flint or lighter and animal fat. \n\nAfter igniting you have a short moment to pick up or to extinguish it again before it burns slowly.,Dieser Block kann entzündet werden mit einem Feuerstein oder Feuerzeug und Tierfett. \n\nNach dem entzünden hast du einen kurzen Moment um ihn aufzuheben oder wieder zu löschen bevor er langsam verbrennt.
burningBarrel,blocks,light,rework,Fire Bowl (burned out),Feuerschale (ausgebrannt)
FlammableBarrel,blocks,light,new,Fire Bowl,Feuerschale
burningBarrelPlayer,blocks,light,rework,Fire Bowl (burning),Feuerschale (brennend)
barrelFlammableDesc,description,light,new,This block can be ignited with a flint or lighter and coal.,Dieser Block kann entzündet werden mit einem Feuerstein oder Feuerzeug und Kohle.
lanternDecorLight,blocks,light,new,Storm Lantern (broken),Sturmlaterne (defekt)
FlameableLantern,blocks,light,new,Storm Lantern,Sturmlaterne
lanternLight_player,blocks,light,new,Storm Lantern (burning),Sturmlaterne (brennend)
lanternFlammableDesc,description,light,new,This block can be ignited with a flint or lighter and fuel.,Dieser Block kann entzündet werden mit einem Feuerstein oder Feuerzeug und Benzin.

h7sb_lightsVariantHelper,blocks,light,new,Electric Lighting,Elektrische Beleuchtung
h7sb_lights_electric,description,light,new,This block can be connected to a power source to light up.,Dieser Block kann mit einer Stromquelle verbunden werden um zu leuchten.
h7sb_lights_helper,description,light,new,This helper block contains all 1-block lights. Its selection can be opened by a long press on the R key.,Dieser Helfer Block beinhaltet alle 1-Block-Lichter. Seine Auswahl kann durch langes drücken der R Taste geöffnet werden.
h7sb_lights,blocks,light,new,Light Bulb,Glühbirne
h7sb_lights2,blocks,light,new,Industrial Light Bulb,Industrielle Glühbirne
h7sb_lights3,blocks,light,new,Industrial Light Bulb (red),Industrielle Glühbirne (rot)
h7sb_lights4,blocks,light,new,Desk Lamp,Schreibtischlampe
h7sb_lights5,blocks,light,new,Table Lamp,Tischlampe
h7sb_lights6,blocks,light,new,Fluorescent Tube,Leuchtröhre
h7sb_lights7,blocks,light,new,Industrial Fluorescent Tube,Industrielle Leuchtröhre
h7sb_lights8,blocks,light,new,Wall Lamp (outdoor),Wandlampe (außen)
h7sb_lights9,blocks,light,new,Wall Lamp (half),Wandlampe (halb)
h7sb_lights10,blocks,light,new,Round Ceiling Lamp (silver),Runde Deckenlampe (silber)
h7sb_lights11,blocks,light,new,Round Ceiling Lamp (gold),Runde Deckenlampe (gold)
h7sb_lights12,blocks,light,new,Ceiling Lamp,Deckenlampe
h7sb_lights13,blocks,light,new,Ceiling Lamp (silver),Deckenlampe (silber)
h7sb_lights14,blocks,light,new,Shop Sign (open),Ladenschild (geöffnet)
h7sb_lights15,blocks,light,new,Shop sign (exit),Ladenschild (ausgang)
h7sb_lightsTable,blocks,light,new,Bedside Table,Nachttisch
h7sb_lightsFan,blocks,light,new,Fan,Ventilator
h7sb_lightsWorkside,blocks,light,new,Construction Site Light,Baustellenlicht
h7sb_lightsHall,blocks,light,new,Ceiling Spotlights,Deckenstrahler
h7sb_lightsHallIndustrial,blocks,light,new,Hall Light,Flurlicht
h7sb_lightsStreet,blocks,light,new,Street Light,Straßenlicht
h7sb_lightsStreetClassic,blocks,light,new,Street Lamp,Straßenlaterne
